cell_id	coords
3	[[1473, 3440], [1468, 3439], [1467, 3437], [1467, 3432], [1468, 3430], [1467, 3428], [1463, 3425], [1463, 3421], [1465, 3417], [1464, 3415], [1464, 3409], [1465, 3408], [1465, 3406], [1468, 3402], [1470, 3402], [1474, 3409], [1470, 3412], [1470, 3415], [1472, 3417], [1472, 3424], [1471, 3424], [1468, 3428], [1469, 3430], [1469, 3433], [1472, 3435], [1474, 3434], [1475, 3435], [1475, 3437], [1476, 3438], [1473, 3440]]
4	[[1429, 3538], [1429, 3538], [1427, 3535], [1426, 3535], [1421, 3531], [1410, 3530], [1414, 3528], [1416, 3526], [1419, 3526], [1421, 3528], [1424, 3529], [1427, 3533], [1427, 3535], [1429, 3538]]
9	[[1769, 3714], [1768, 3713], [1764, 3712], [1762, 3711], [1759, 3705], [1759, 3703], [1758, 3702], [1758, 3685], [1759, 3684], [1759, 3680], [1760, 3679], [1761, 3675], [1766, 3670], [1768, 3670], [1770, 3668], [1772, 3668], [1773, 3667], [1778, 3668], [1780, 3666], [1784, 3666], [1790, 3672], [1791, 3672], [1794, 3677], [1794, 3683], [1793, 3684], [1793, 3686], [1795, 3689], [1795, 3695], [1794, 3696], [1789, 3695], [1784, 3692], [1783, 3688], [1781, 3685], [1776, 3685], [1775, 3688], [1772, 3691], [1772, 3695], [1771, 3696], [1771, 3698], [1780, 3707], [1782, 3707], [1784, 3705], [1784, 3704], [1790, 3699], [1794, 3699], [1795, 3703], [1794, 3705], [1790, 3709], [1790, 3711], [1785, 3714], [1782, 3714], [1781, 3713], [1769, 3714]]
11	[[1697, 3791], [1696, 3789], [1698, 3785], [1698, 3782], [1702, 3778], [1702, 3781], [1700, 3784], [1700, 3786], [1698, 3788], [1697, 3791]]
14	[[1779, 3917], [1776, 3915], [1776, 3914], [1771, 3909], [1763, 3906], [1764, 3903], [1763, 3902], [1763, 3900], [1761, 3896], [1761, 3893], [1760, 3892], [1760, 3888], [1759, 3887], [1759, 3880], [1760, 3879], [1760, 3875], [1761, 3874], [1763, 3866], [1765, 3864], [1767, 3865], [1772, 3865], [1773, 3864], [1774, 3865], [1776, 3865], [1778, 3868], [1784, 3870], [1786, 3874], [1787, 3884], [1788, 3885], [1788, 3887], [1789, 3888], [1789, 3890], [1791, 3894], [1791, 3898], [1792, 3899], [1792, 3905], [1793, 3906], [1793, 3910], [1788, 3913], [1786, 3913], [1785, 3914], [1781, 3915], [1779, 3917]]
15	[[1794, 3909], [1793, 3906], [1792, 3905], [1792, 3899], [1791, 3898], [1791, 3894], [1790, 3893], [1790, 3891], [1789, 3890], [1789, 3888], [1787, 3884], [1787, 3880], [1786, 3879], [1786, 3874], [1785, 3872], [1789, 3871], [1794, 3866], [1798, 3864], [1800, 3870], [1800, 3873], [1802, 3876], [1802, 3878], [1806, 3886], [1817, 3898], [1817, 3899], [1819, 3900], [1820, 3902], [1818, 3902], [1817, 3901], [1814, 3901], [1810, 3899], [1807, 3899], [1804, 3903], [1800, 3902], [1797, 3905], [1797, 3908], [1796, 3909], [1794, 3909]]
17	[[1502, 4157], [1498, 4156], [1496, 4154], [1491, 4152], [1488, 4149], [1487, 4149], [1483, 4146], [1478, 4137], [1478, 4127], [1477, 4126], [1483, 4122], [1485, 4122], [1491, 4119], [1495, 4115], [1497, 4115], [1503, 4118], [1507, 4123], [1508, 4125], [1508, 4126], [1506, 4128], [1502, 4135], [1502, 4144], [1505, 4150], [1510, 4154], [1508, 4154], [1505, 4156], [1503, 4156], [1502, 4157]]
21	[[1645, 2559], [1639, 2555], [1637, 2551], [1637, 2549], [1636, 2548], [1636, 2535], [1637, 2534], [1638, 2527], [1639, 2526], [1641, 2518], [1646, 2509], [1652, 2503], [1653, 2501], [1655, 2500], [1661, 2500], [1663, 2502], [1666, 2503], [1670, 2508], [1672, 2512], [1672, 2521], [1671, 2522], [1671, 2525], [1670, 2526], [1668, 2534], [1665, 2539], [1665, 2541], [1662, 2547], [1658, 2552], [1658, 2553], [1655, 2556], [1654, 2556], [1650, 2559], [1645, 2559]]
24	[[1852, 2649], [1854, 2647], [1856, 2647], [1857, 2646], [1859, 2646], [1863, 2644], [1866, 2644], [1870, 2641], [1871, 2641], [1874, 2637], [1874, 2638], [1871, 2644], [1866, 2649], [1863, 2650], [1861, 2652], [1857, 2652], [1852, 2649]]
27	[[1981, 2785], [1981, 2786], [1981, 2786], [1980, 2786], [1981, 2785]]
35	[[1556, 3549], [1552, 3549], [1548, 3551], [1546, 3550], [1546, 3546], [1547, 3544], [1550, 3542], [1554, 3542], [1556, 3544], [1556, 3549]]
40	[[1924, 3717], [1920, 3721], [1913, 3715], [1909, 3713], [1902, 3712], [1899, 3711], [1903, 3708], [1905, 3708], [1910, 3711], [1912, 3711], [1918, 3717], [1920, 3718], [1922, 3718], [1924, 3716], [1924, 3717]]
43	[[1877, 3770], [1875, 3770], [1871, 3768], [1867, 3768], [1866, 3767], [1864, 3767], [1863, 3759], [1862, 3758], [1862, 3752], [1863, 3751], [1863, 3748], [1865, 3744], [1870, 3739], [1871, 3739], [1876, 3735], [1877, 3737], [1878, 3741], [1879, 3742], [1878, 3750], [1875, 3754], [1874, 3758], [1873, 3759], [1874, 3761], [1874, 3764], [1876, 3766], [1876, 3768], [1877, 3769], [1877, 3770]]
44	[[1892, 3786], [1889, 3782], [1883, 3776], [1883, 3775], [1877, 3771], [1876, 3766], [1874, 3764], [1875, 3763], [1873, 3759], [1874, 3758], [1875, 3754], [1878, 3750], [1878, 3747], [1879, 3746], [1879, 3742], [1876, 3736], [1877, 3735], [1883, 3733], [1889, 3727], [1892, 3727], [1893, 3728], [1899, 3728], [1900, 3729], [1907, 3730], [1909, 3732], [1912, 3733], [1919, 3739], [1919, 3722], [1928, 3713], [1929, 3713], [1936, 3719], [1944, 3722], [1953, 3731], [1953, 3742], [1950, 3747], [1949, 3752], [1942, 3762], [1938, 3763], [1933, 3766], [1930, 3766], [1927, 3768], [1924, 3768], [1921, 3773], [1920, 3773], [1915, 3778], [1915, 3779], [1911, 3782], [1905, 3783], [1899, 3786], [1892, 3786]]
45	[[1517, 3771], [1527, 3770], [1528, 3769], [1530, 3769], [1531, 3768], [1531, 3769], [1526, 3772], [1521, 3772], [1520, 3771], [1517, 3771]]
57	[[1580, 4030], [1580, 4031], [1580, 4031], [1579, 4031], [1580, 4030]]
63	[[1965, 4137], [1961, 4138], [1960, 4137], [1955, 4137], [1954, 4136], [1949, 4135], [1940, 4128], [1935, 4118], [1935, 4115], [1933, 4111], [1933, 4106], [1932, 4105], [1933, 4100], [1938, 4095], [1940, 4095], [1941, 4094], [1943, 4094], [1947, 4092], [1956, 4092], [1960, 4095], [1961, 4095], [1969, 4106], [1971, 4110], [1972, 4115], [1973, 4116], [1973, 4119], [1974, 4120], [1974, 4128], [1972, 4132], [1969, 4135], [1965, 4137]]
73	[[1664, 4412], [1663, 4411], [1659, 4410], [1654, 4406], [1648, 4394], [1648, 4391], [1650, 4388], [1650, 4381], [1654, 4373], [1655, 4367], [1661, 4364], [1666, 4360], [1674, 4359], [1675, 4360], [1678, 4360], [1680, 4361], [1687, 4369], [1688, 4371], [1689, 4383], [1688, 4384], [1687, 4390], [1685, 4392], [1685, 4394], [1687, 4395], [1678, 4399], [1671, 4405], [1671, 4406], [1666, 4412], [1664, 4412]]
77	[[1668, 4461], [1667, 4461], [1670, 4457], [1670, 4459], [1668, 4461]]
79	[[1353, 4444], [1353, 4441], [1353, 4444]]
80	[[2248, 2542], [2247, 2540], [2245, 2536], [2242, 2533], [2243, 2532], [2246, 2534], [2247, 2538], [2248, 2539], [2248, 2542]]
84	[[1852, 2648], [1850, 2647], [1847, 2644], [1847, 2641], [1846, 2640], [1846, 2629], [1847, 2628], [1847, 2625], [1848, 2624], [1850, 2616], [1853, 2612], [1855, 2607], [1857, 2605], [1860, 2600], [1862, 2601], [1864, 2600], [1865, 2601], [1872, 2602], [1877, 2605], [1879, 2605], [1879, 2608], [1878, 2609], [1878, 2620], [1877, 2621], [1877, 2628], [1876, 2629], [1876, 2633], [1875, 2634], [1875, 2636], [1872, 2639], [1872, 2640], [1868, 2643], [1866, 2644], [1863, 2644], [1862, 2645], [1860, 2645], [1859, 2646], [1857, 2646], [1856, 2647], [1852, 2648]]
85	[[1847, 2642], [1845, 2640], [1846, 2632], [1846, 2640], [1847, 2641], [1847, 2642]]
88	[[2939, 2793], [2937, 2792], [2937, 2791], [2939, 2787], [2945, 2782], [2950, 2781], [2950, 2784], [2951, 2785], [2950, 2786], [2950, 2789], [2945, 2793], [2939, 2793]]
89	[[1509, 2820], [1506, 2819], [1502, 2816], [1499, 2816], [1498, 2817], [1489, 2817], [1480, 2822], [1476, 2823], [1475, 2820], [1471, 2813], [1467, 2809], [1463, 2809], [1466, 2806], [1468, 2806], [1470, 2804], [1470, 2801], [1465, 2796], [1463, 2797], [1458, 2793], [1456, 2789], [1456, 2787], [1455, 2786], [1455, 2782], [1454, 2781], [1455, 2780], [1455, 2778], [1457, 2774], [1457, 2771], [1458, 2770], [1458, 2767], [1459, 2766], [1460, 2762], [1462, 2760], [1462, 2759], [1469, 2752], [1476, 2748], [1479, 2748], [1480, 2747], [1484, 2747], [1486, 2748], [1490, 2753], [1492, 2757], [1492, 2760], [1493, 2761], [1493, 2775], [1492, 2776], [1492, 2780], [1491, 2781], [1491, 2783], [1492, 2784], [1492, 2786], [1491, 2787], [1491, 2792], [1498, 2793], [1505, 2800], [1507, 2804], [1507, 2810], [1508, 2811], [1508, 2819], [1509, 2820], [1509, 2820]]
90	[[2411, 2834], [2410, 2833], [2406, 2833], [2402, 2825], [2402, 2823], [2398, 2818], [2396, 2814], [2396, 2812], [2392, 2805], [2395, 2801], [2395, 2800], [2398, 2797], [2398, 2796], [2400, 2794], [2404, 2787], [2410, 2781], [2414, 2780], [2415, 2779], [2420, 2779], [2421, 2780], [2423, 2780], [2427, 2785], [2429, 2789], [2429, 2791], [2430, 2792], [2430, 2803], [2429, 2804], [2428, 2812], [2426, 2815], [2426, 2817], [2423, 2823], [2421, 2825], [2419, 2829], [2416, 2832], [2412, 2833], [2411, 2834]]
96	[[1320, 2898], [1322, 2897], [1326, 2893], [1329, 2892], [1329, 2890], [1333, 2892], [1333, 2893], [1329, 2895], [1327, 2895], [1322, 2898], [1320, 2898]]
98	[[3047, 3045], [3046, 3045], [3048, 3042], [3048, 3039], [3044, 3036], [3044, 3034], [3043, 3033], [3044, 3028], [3045, 3026], [3050, 3021], [3049, 3020], [3053, 3015], [3057, 3015], [3058, 3016], [3060, 3016], [3073, 3030], [3073, 3035], [3072, 3036], [3069, 3037], [3067, 3039], [3059, 3039], [3047, 3045]]
103	[[3395, 3155], [3392, 3153], [3391, 3149], [3390, 3148], [3390, 3134], [3391, 3133], [3392, 3128], [3394, 3125], [3394, 3121], [3393, 3120], [3393, 3118], [3391, 3116], [3395, 3115], [3396, 3116], [3399, 3116], [3400, 3117], [3409, 3117], [3416, 3112], [3418, 3113], [3418, 3114], [3417, 3114], [3415, 3117], [3415, 3119], [3411, 3123], [3411, 3131], [3407, 3139], [3407, 3143], [3406, 3144], [3406, 3146], [3402, 3150], [3402, 3152], [3404, 3154], [3404, 3156], [3402, 3156], [3401, 3155], [3395, 3155]]
106	[[3910, 3222], [3906, 3222], [3904, 3223], [3902, 3221], [3900, 3221], [3899, 3220], [3895, 3219], [3891, 3216], [3889, 3212], [3889, 3208], [3888, 3207], [3888, 3195], [3887, 3193], [3888, 3192], [3888, 3189], [3889, 3188], [3890, 3183], [3892, 3180], [3892, 3178], [3893, 3177], [3894, 3171], [3895, 3170], [3896, 3167], [3902, 3174], [3907, 3185], [3914, 3191], [3915, 3191], [3920, 3195], [3925, 3197], [3931, 3204], [3929, 3204], [3928, 3203], [3925, 3203], [3923, 3204], [3920, 3208], [3920, 3211], [3918, 3215], [3910, 3222]]
107	[[2658, 3210], [2656, 3210], [2652, 3208], [2646, 3203], [2645, 3199], [2644, 3198], [2644, 3196], [2643, 3195], [2643, 3192], [2642, 3191], [2642, 3179], [2643, 3178], [2644, 3173], [2647, 3167], [2654, 3160], [2654, 3162], [2647, 3174], [2646, 3180], [2645, 3181], [2645, 3188], [2646, 3189], [2646, 3192], [2649, 3196], [2649, 3197], [2651, 3198], [2654, 3199], [2656, 3201], [2659, 3201], [2660, 3202], [2666, 3202], [2669, 3200], [2671, 3201], [2666, 3207], [2665, 3207], [2663, 3209], [2659, 3209], [2658, 3210]]
108	[[3476, 3306], [3472, 3302], [3471, 3302], [3463, 3294], [3463, 3292], [3461, 3289], [3461, 3287], [3459, 3283], [3456, 3280], [3456, 3279], [3464, 3273], [3465, 3273], [3465, 3272], [3467, 3271], [3469, 3267], [3469, 3265], [3470, 3264], [3472, 3256], [3474, 3254], [3476, 3253], [3480, 3253], [3481, 3252], [3483, 3252], [3487, 3249], [3488, 3249], [3490, 3251], [3495, 3253], [3497, 3256], [3497, 3261], [3498, 3262], [3498, 3266], [3499, 3267], [3499, 3284], [3498, 3285], [3497, 3291], [3494, 3297], [3488, 3304], [3484, 3304], [3480, 3306], [3476, 3306]]
113	[[2466, 3389], [2463, 3389], [2462, 3388], [2459, 3388], [2458, 3387], [2448, 3387], [2450, 3385], [2453, 3384], [2456, 3381], [2459, 3380], [2463, 3382], [2466, 3386], [2466, 3389]]
118	[[3452, 3679], [3451, 3679], [3447, 3676], [3436, 3671], [3431, 3671], [3430, 3670], [3427, 3670], [3426, 3669], [3421, 3669], [3423, 3665], [3429, 3659], [3431, 3660], [3438, 3660], [3447, 3671], [3447, 3672], [3450, 3675], [3452, 3679]]
121	[[1407, 3771], [1406, 3770], [1404, 3770], [1398, 3767], [1394, 3764], [1393, 3760], [1392, 3759], [1392, 3755], [1393, 3754], [1394, 3750], [1396, 3748], [1396, 3747], [1398, 3745], [1398, 3744], [1400, 3742], [1401, 3739], [1404, 3736], [1404, 3735], [1409, 3730], [1417, 3727], [1418, 3728], [1422, 3729], [1424, 3732], [1427, 3738], [1427, 3742], [1428, 3743], [1428, 3762], [1427, 3763], [1427, 3765], [1423, 3769], [1419, 3771], [1407, 3771]]
123	[[1953, 3730], [1944, 3722], [1936, 3719], [1928, 3713], [1932, 3708], [1935, 3699], [1940, 3695], [1943, 3695], [1947, 3701], [1947, 3704], [1950, 3710], [1950, 3715], [1951, 3716], [1952, 3724], [1953, 3725], [1953, 3730]]
125	[[1333, 3778], [1333, 3779], [1333, 3779], [1332, 3779], [1333, 3778]]
126	[[1365, 3813], [1362, 3813], [1363, 3812], [1364, 3804], [1365, 3808], [1369, 3811], [1365, 3813]]
129	[[3323, 3839], [3324, 3836], [3330, 3836], [3331, 3835], [3334, 3835], [3337, 3833], [3339, 3834], [3338, 3835], [3335, 3835], [3332, 3838], [3332, 3839], [3329, 3841], [3323, 3839]]
130	[[3740, 3913], [3740, 3914], [3740, 3914], [3739, 3914], [3740, 3913]]
135	[[2520, 4001], [2520, 4001], [2517, 3999], [2518, 3998], [2520, 4001]]
140	[[1802, 4062], [1799, 4062], [1802, 4062]]
141	[[1769, 4058], [1767, 4058], [1769, 4058]]
143	[[1625, 4042], [1622, 4042], [1618, 4038], [1616, 4038], [1616, 4032], [1617, 4031], [1618, 4027], [1619, 4030], [1621, 4027], [1627, 4026], [1628, 4028], [1627, 4030], [1628, 4030], [1629, 4030], [1630, 4028], [1633, 4028], [1634, 4031], [1633, 4032], [1634, 4037], [1633, 4038], [1630, 4038], [1628, 4039], [1625, 4042]]
