gene_name	gene_id	spot_id	x	y	z	plane_id	neighbour	neighbour_array	neighbour_prob	omp_score
Bcl11b	15	0	31.831	18.766	54.317298889160156	54	1	[1, 2, 8, 9, 3, 0, 10]	[0.998, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0]	1.0
Bcl11b	15	1	40.538	5.657	30.667177200317383	30	1	[1, 2, 8, 0, 9, 3, 10]	[0.961, 0.039, 0.0, 0.0, 0.0, 0.0, 0.0]	1.0
Bcl11b	15	2	10.52	30.007	31.38726043701172	31	1	[1, 8, 2, 0, 9, 15, 16]	[0.915, 0.085, 0.0, 0.0, 0.0, 0.0, 0.0]	1.0
Cadps2	23	3	21.896	8.504	65.72160339355469	65	1	[1, 2, 8, 9, 0, 3, 10]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	1.0
Cadps2	23	4	49.776	29.246	58.33872604370117	58	2	[2, 9, 1, 3, 8, 10, 0]	[0.994, 0.006, 0.0, 0.0, 0.0, 0.0, 0.0]	1.0
Cd24a	35	5	0.537	9.657	24.502710342407227	24	1	[1, 8, 0, 2, 9, 15, 16]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	1.0
Cd24a	35	6	10.698	58.273	70.69873046875	70	8	[8, 15, 9, 1, 16, 0, 2]	[0.998, 0.002, 0.0, 0.0, 0.0, 0.0, 0.0]	1.0
Col25a1	52	7	16.364	4.545	66.89403533935547	66	1	[1, 2, 8, 0, 9, 3, 15]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	1.0
Col25a1	52	8	19.288	28.83	64.0691146850586	64	1	[1, 8, 2, 9, 0, 15, 3]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	1.0
Cplx2	55	9	29.343	7.294	55.00564193725586	55	1	[1, 2, 8, 9, 0, 3, 10]	[0.997, 0.003, 0.0, 0.0, 0.0, 0.0, 0.0]	1.0
Cplx2	55	10	44.538	51.758	5.375162124633789	5	8	[8, 16, 0, 1, 9, 2, 15]	[0.999, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]	1.0
Cplx2	55	11	17.028	11.719	22.048110961914062	22	1	[1, 8, 2, 0, 9, 15, 3]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	1.0
Cpne7	59	12	4.462	21.218	27.687095642089844	27	1	[1, 8, 2, 0, 9, 15, 16]	[0.999, 0.001, 0.0, 0.0, 0.0, 0.0, 0.0]	1.0
Cx3cr1	72	13	31.304	9.157	34.35923385620117	34	1	[1, 2, 8, 9, 0, 3, 10]	[0.891, 0.109, 0.0, 0.0, 0.0, 0.0, 0.0]	1.0
Enc1	84	14	12.346	21.876	27.365459442138672	27	1	[1, 8, 2, 0, 9, 15, 16]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	1.0
Enc1	84	15	2.623	24.12	62.439395904541016	62	1	[1, 8, 2, 9, 0, 15, 16]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	1.0
Fos	95	16	12.96	46.314	67.43790435791016	67	8	[8, 1, 9, 15, 2, 0, 16]	[0.993, 0.007, 0.0, 0.0, 0.0, 0.0, 0.0]	1.0
Gad1	101	17	10.239	34.562	35.47600173950195	35	8	[8, 1, 2, 9, 15, 0, 16]	[0.562, 0.438, 0.0, 0.0, 0.0, 0.0, 0.0]	1.0
Glul	107	18	19.331	22.514	40.304039001464844	40	1	[1, 8, 2, 9, 0, 15, 16]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	1.0
Id2	124	19	31.292	34.447	57.05852508544922	57	1	[1, 8, 2, 9, 15, 16, 0]	[0.948, 0.035, 0.01, 0.007, 0.0, 0.0, 0.0]	1.0
Id2	124	20	27.427	31.635	61.03675079345703	61	1	[1, 8, 2, 9, 15, 0, 3]	[0.996, 0.003, 0.001, 0.0, 0.0, 0.0, 0.0]	1.0
Id2	124	21	13.38	9.306	49.55386734008789	49	1	[1, 2, 8, 0, 9, 3, 15]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	1.0
Id2	124	22	9.128	31.106	37.68102264404297	37	1	[1, 8, 2, 9, 15, 0, 16]	[0.907, 0.093, 0.0, 0.0, 0.0, 0.0, 0.0]	1.0
Igfbp5	129	23	9.908	18.32	46.54790496826172	46	1	[1, 8, 2, 9, 0, 15, 3]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	1.0
Kcnd3	135	24	23.577	50.185	62.96232986450195	62	8	[8, 9, 1, 15, 2, 16, 0]	[0.989, 0.007, 0.004, 0.0, 0.0, 0.0, 0.0]	1.0
